  PID TTY          TIME CMD
    1 pts/0    00:00:00 tail
  111 ?        00:00:00 sh
  129 ?        00:00:00 node
  192 ?        00:00:00 sh
  201 ?        00:00:34 node
  373 ?        00:00:18 node
  466 ?        00:00:00 node
  877 ?        00:00:00 sh
  907 ?        00:00:00 node
 1180 ?        00:00:00 node
 3483 pts/1    00:00:00 bash
 4367 ?        00:00:00 sh
 4379 ?        00:00:00 node
 4565 ?        00:00:00 node
10936 ?        00:00:00 sh
10988 ?        00:00:00 node
11973 ?        00:00:00 ssh
14013 ?        00:00:00 sh
14223 ?        00:00:00 sh
14277 ?        00:00:00 node
14350 ?        00:00:02 node
14384 ?        00:00:01 node
14390 ?        00:00:02 node
14420 ?        00:01:11 node
14631 pts/3    00:00:00 bash
14900 ?        00:00:01 node
16047 pts/4    00:00:00 bash
26386 pts/5    00:00:00 bash
30591 ?        00:00:00 sh
30597 ?        00:00:00 sh
31043 pts/5    00:00:02 java
31067 ?        00:00:00 sleep
31068 ?        00:00:00 sleep
31077 pts/5    00:00:00 sh
31078 ?        00:00:00 sh
31079 ?        00:00:00 ps
31080 pts/5    00:00:00 ps
